"","family","genus","species","binomial","P50","P12","P88","Ks","location","country","lat","lon","mat","biome","site_name","map","map_jan","map_feb","map_mar","map_apr","map_may","map_jun","map_jul","map_aug","map_sep","map_oct","map_nov","map_dec","map_cru","id","a_m","sd_map","log_P50","log_Ks","latlon"
"31","Betulaceae","Betula","occidentalis","Betula occidentalis",-1.462,-1.014,-1.719,NA,"Red Butte Canyon, Utah","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_7",667,74,71,70,67,53,34,25,33,44,55,67,75,667,31,NA,0.0266461456526992,-0.379805361327587,NA,"40.8-111.767"
"34","Pinaceae","Abies","lasiocarpa","Abies lasiocarpa",-3.178,-2.501,-3.724,NA,"Wasatch Mountains, Brighton, Utah","USA",40.604,-111.582,NA,"","USA_Ut_Brighton",956,112,107,119,89,66,40,38,45,52,70,106,112,1058,34,NA,0.0326585702399786,-1.15625206811452,NA,"40.604-111.582"
"37","Betulaceae","Betula","occidentalis","Betula occidentalis",-1.648,-1.22,-2.054,NA,"Wasatch Mountains, Utah, Red Butte Canyon","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_7",667,74,71,70,67,53,34,25,33,44,55,67,75,667,37,NA,0.0266461456526992,-0.49956243148728,NA,"40.8-111.767"
"40","Cupressaceae","Juniperus","scopulorum","Juniperus scopulorum",-7.377,-5.15,-8.678,NA,"Wasatch Mountains, Utah, Parley's Summit","USA",40.75,-111.6,NA,"","USA_Ut_Cottonwood",747,87,83,80,72,53,35,30,37,47,60,78,86,747,40,NA,0.0285656506439611,-1.99836705190217,NA,"40.75-111.6"
"42","Salicaceae","Populus","tremuloides","Populus tremuloides",-2.744,NA,-4.537,NA,"Wasatch Mountains, Brighton, Utah","USA",40.604,-111.582,NA,"TMS","USA_Ut_Brighton",956,112,107,119,89,66,40,38,45,52,70,106,112,1058,42,NA,0.0326585702399786,-1.00941670986364,NA,"40.604-111.582"
"51","Pinaceae","Abies","balsamea","Abies balsamea",-2.7,-2.19,-3.17,NA,"Essex Junction, Vermont","USA",44.5,-73.117,NA,"","USA_Vt_Essex_1",891,50,45,56,72,81,89,92,104,85,77,79,61,903,51,NA,0.0202083960961988,-0.993251773010283,NA,"44.5-73.117"
"55","Cupressaceae","Juniperus","virginiana","Juniperus virginiana",-6.3,-4.3,NA,NA,"Southern Burlington, VT","USA",44.467,-73.2,NA,"","USA_Vt_Burlington_1",866,49,44,55,70,79,86,89,101,83,75,76,59,803,55,NA,0.019987450680404,-1.84054963339749,NA,"44.467-73.2"
"58","Pinaceae","Picea","rubens","Picea rubens",-3.53,-2.78,NA,NA,"Duxbury, Vermont","USA",44.317,-72.75,NA,"","USA_Vt_Duxbury",991,59,54,66,78,89,96,98,111,88,83,91,78,981,58,NA,0.0168217743436685,-1.26129787094521,NA,"44.317-72.75"
"62","Betulaceae","Alnus","crispa","Alnus crispa",-1.707,-1.001,-2.485,NA,"Bonanza Creek, Alaska","USA",65.1,-146.767,NA,"","USA_Ak_Bonanza",299,18,15,12,8,17,42,53,49,30,19,18,18,281,62,NA,0.0502069029934985,-0.534737443812304,NA,"65.1-146.767"
"64","Betulaceae","Alnus","incana","Alnus incana",-1.703,-1.315,-2.153,NA,"Wasatch Mountains, Utah, Red Butte Canyon","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_1",667,74,71,70,67,53,34,25,33,44,55,67,75,667,64,NA,0.0266461456526992,-0.532391401680551,NA,"40.8-111.767"
"66","Betulaceae","Betula","occidentalis","Betula occidentalis",-1.713,-1.196,-2.182,NA,"Wasatch Mountains, Utah, Red Butte Canyon","USA",40.8,-111.767,NA,"","USA_Ut_RedButte_1",667,74,71,70,67,53,34,25,33,44,55,67,75,667,66,NA,0.0266461456526992,-0.538246219341983,NA,"40.8-111.767"
"68","Betulaceae","Betula","papyrifera","Betula papyrifera",-2.337,-1.302,-3.118,NA,"Bonanza Creek, Alaska","USA",65.1,-146.767,NA,"","USA_Ak_Bonanza",299,18,15,12,8,17,42,53,49,30,19,18,18,281,68,NA,0.0502069029934985,-0.848868055556721,NA,"65.1-146.767"
"70","Pinaceae","Picea","glauca","Picea glauca",-3.813,-2.779,NA,NA,"Bonanza Creek, Alaska","USA",65.1,-146.767,NA,"","USA_Ak_Bonanza",299,18,15,12,8,17,42,53,49,30,19,18,18,281,70,NA,0.0502069029934985,-1.33841628087543,NA,"65.1-146.767"
"72","Salicaceae","Populus","tremuloides","Populus tremuloides",-2.68,NA,-4.547,NA,"Wasatch Mountains, Brighton, Utah","USA",40.604,-111.582,NA,"TMS","USA_Ut_Brighton",956,112,107,119,89,66,40,38,45,52,70,106,112,1058,72,NA,0.0326585702399786,-0.985816794522765,NA,"40.604-111.582"
"76","Chloranthaceae","Ascarina","lucida","Ascarina lucida",-1.869,-1.265,-2.82,NA,"South Island","New Zealand",-42.751,171.058,NA,"","NZ_Sisland_1",3171,278,208,263,263,274,235,236,238,279,298,308,291,3600,76,NA,0.00940334550347353,-0.625403528473426,NA,"-42.751171.058"
"77","Chloranthaceae","Ascarina","rubricaulis","Ascarina rubricaulis",-2.797,-2.031,-3.389,NA,"Mont Dzumac","New Caledonia",-22.047,166.469,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,-1.02854741421982,NA,"-22.047166.469"
"78","Chloranthaceae","Ascarina","solmsiana","Ascarina solmsiana",-2.634,-2.007,-3.632,NA,"Mt. Koghis","New Caledonia",-22.166,166.534,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,-0.968503603321089,NA,"-22.166166.534"
"79","Austrobaileyaceae","Austrobaileya","scandens","Austrobaileya scandens",-0.499,-0.128,-1.973,NA,"Queensland","Australia",-16.5561111111111,145.274944444444,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,0.695149183230618,NA,"-16.5561111111111145.274944444444"
"80","Calycanthaceae","Calycanthus","floridus","Calycanthus floridus",-2.112,-0.36,-3.656,NA,"North Carolina","USA",35.203,-82.242,NA,"","USA_Nc_1",1394,103,115,143,100,121,122,121,135,110,112,104,111,1394,80,NA,0.00922966459608262,-0.747635365844015,NA,"35.203-82.242"
"83","Himantandraceae","Galbulimima","baccata","Galbulimima baccata",-1.3,-0.302,-3.598,NA,"Queensland","Australia",-16.82,145.645,NA,"","AU_Qld_3",1749,359,366,359,171,85,47,28,26,27,35,87,159,1749,83,NA,0.0793260005634782,-0.262364264467491,NA,"-16.82145.645"
"84","Chloranthaceae","Hedyosmum","goudotianum","Hedyosmum goudotianum",-1.741,-0.418,-2.426,NA,"Puntarenas Province","Costa Rica",10.319,-84.794,NA,"","CR_Puntarenas",2899,167,99,93,77,249,313,308,329,347,387,293,237,2786,84,NA,0.0370919850596197,-0.554459660786052,NA,"10.319-84.794"
"85","Chloranthaceae","Hedyosmum","mexicanum","Hedyosmum mexicanum",-0.789,NA,NA,NA,"Heredia Province","Costa Rica",10.025,-84.125,NA,"","CR_Heredia",3131,124,82,66,135,355,335,312,325,424,419,320,234,3131,85,NA,0.0410217830376615,0.236988958136263,NA,"10.025-84.125"
"87","Illiciaceae","Illicium","anisatum","Illicium anisatum",-3.656,-0.963,-4.7,NA,"Kyoto","Japan",35.012,135.768,NA,"","JP_Kyoto_1",1720,75,81,117,146,159,239,241,179,208,123,86,66,1552,87,NA,0.0364882344272562,-1.2963696535919,NA,"35.012135.768"
"89","Schisandraceae","Schisandra","glabra","Schisandra glabra",-1.056,-0.186,-1.973,NA,"Georgia","USA",34.673,-83.354,NA,"","USA_Ga",1507,142,136,163,121,123,116,132,119,108,103,113,131,1791,89,NA,0.0109382364818679,-0.0544881852840698,NA,"34.673-83.354"
"90","Trimeniaceae","Trimenia","moorei","Trimenia moorei",-0.383,-0.104,-1.103,NA,"New South Wales","Australia",-29.25,152.124,NA,"","AU_Nsw",1134,151,144,108,76,83,61,69,56,57,99,95,135,1009,90,NA,0.0298701556887167,0.959720289801491,NA,"-29.25152.124"
"91","Trimeniaceae","Trimenia","neocaledonica","Trimenia neocaledonica",-1.253,-0.174,-3.679,NA,"Province Nord","New Caledonia",-21.182,165.292,NA,"","NC_Nord",1579,251,224,227,132,99,110,90,74,67,65,96,144,2163,91,NA,0.0420538203401566,-0.225540675913931,NA,"-21.182165.292"
"92","Malvaceae","Adansonia","rubrostipa","Adansonia rubrostipa",-1.1,-0.293,-2.82,NA,"Kirindy Forestry Reserve","Madagascar",-20.45,44.817,NA,"TRS","MG_Kirindy",770,225,190,93,18,12,5,4,4,4,17,35,164,827,92,NA,0.107085240849814,-0.0953101798043249,NA,"-20.4544.817"
"93","Malvaceae","Adansonia","za","Adansonia za",-1.7,-0.59,-3.49,NA,"Kirindy Forestry Reserve","Madagascar",-20.45,44.817,NA,"TRS","MG_Kirindy",770,225,190,93,18,12,5,4,4,4,17,35,164,827,93,NA,0.107085240849814,-0.53062825106217,NA,"-20.4544.817"
"96","Rhamnaceae","Alphitonia","excelsa","Alphitonia excelsa",-5.56,-2.1,-9.05,4.89,"Many Peaks Range, Queensland","Australia",-19.183,145.75,18.5,"TRS","AU_Qld_ManyPeaks",1132,251,244,192,85,48,20,17,17,16,33,77,131,968,96,7.19,0.0788990026041127,-1.71559810826249,1.58719230348678,"-19.183145.75"
"97","Myrtaceae","Austromyrtus","bidwillii","Austromyrtus bidwillii",-5.12,NA,-12,1.24,"Many Peaks Range, Queensland","Australia",-19.183,145.75,18.5,"TRS","AU_Qld_ManyPeaks",1132,251,244,192,85,48,20,17,17,16,33,77,131,968,97,4.17,0.0788990026041127,-1.63315443905142,0.215111379616945,"-19.183145.75"
"98","Malvaceae","Brachychiton","australis","Brachychiton australis",-3.17,-1.2,-5.15,6.46,"Many Peaks Range, Queensland","Australia",-19.183,145.75,18.5,"TRS","AU_Qld_ManyPeaks",1132,251,244,192,85,48,20,17,17,16,33,77,131,968,98,8.85,0.0788990026041127,-1.15373158788919,1.86562931779451,"-19.183145.75"
"99","Cochlospermaceae","Cochlospermum","gillivraei","Cochlospermum gillivraei",-1.44,-0.85,-2.05,7.75,"Many Peaks Range, Queensland","Australia",-19.183,145.75,18.5,"TRS","AU_Qld_ManyPeaks",1132,251,244,192,85,48,20,17,17,16,33,77,131,968,99,7.02,0.0788990026041127,-0.364643113587909,2.04769284336526,"-19.183145.75"
"100","Boraginaceae","Cordia","alliodora","Cordia alliodora",-3.6,-1.05,-6.02,9.562827947,"Palo Verde National Park","Costa Rica",10.35,-85.35,NA,"TRS","CR_PaloVerde",1460,2,2,6,34,194,233,130,189,299,267,92,12,1779,100,NA,0.0765527902802973,-1.28093384546206,2.2578834936757,"10.35-85.35"
"101","Boraginaceae","Cordia","alliodora","Cordia alliodora",-1.78,NA,-3.65,8.931733887,"La Selva Research Station","Costa Rica",10.417,-84,NA,"TRR","CR_LaSelva",4200,265,196,176,261,369,415,485,418,351,370,436,458,4062,101,NA,0.0244538362048363,-0.576613364303994,2.18961054031868,"10.417-84"
"102","Boraginaceae","Cordia","alliodora","Cordia alliodora",-2.93,-0.75,-5.15,10.99587564,"Barro Colorado Island (BCI)","Panama",9.167,-79.846,NA,"TRR","PA_BCI",2600,74,32,28,93,285,259,281,290,266,371,388,235,3047,102,NA,0.048825041782251,-1.07500242302898,2.39752026067193,"9.167-79.846"
"103","Boraginaceae","Cordia","collococa","Cordia collococa",-2.34,-0.65,-4.05,3.71533023,"Palo Verde National Park","Costa Rica",10.35,-85.35,NA,"TRS","CR_PaloVerde",1460,2,2,6,34,194,233,130,189,299,267,92,12,1779,103,NA,0.0765527902802973,-0.85015092936961,1.31246756520166,"10.35-85.35"
"104","Boraginaceae","Cordia","cymosa","Cordia cymosa",-1.2,NA,-2.55,7.806902666,"La Selva Research Station","Costa Rica",10.417,-84,NA,"TRR","CR_LaSelva",4200,265,196,176,261,369,415,485,418,351,370,436,458,4062,104,NA,0.0244538362048363,-0.182321556793955,2.05500829953129,"10.417-84"
"105","Boraginaceae","Cordia","dentata","Cordia dentata",-3.6,-1,-6.25,1.504974247,"Palo Verde National Park","Costa Rica",10.35,-85.35,NA,"TRS","CR_PaloVerde",1460,2,2,6,34,194,233,130,189,299,267,92,12,1779,105,NA,0.0765527902802973,-1.28093384546206,0.408775786426527,"10.35-85.35"
"106","Boraginaceae","Cordia","inermis","Cordia inermis",NA,NA,NA,1.842397477,"Palo Verde National Park","Costa Rica",10.35,-85.35,NA,"TRS","CR_PaloVerde",1460,2,2,6,34,194,233,130,189,299,267,92,12,1779,106,NA,0.0765527902802973,NA,0.611067700113935,"10.35-85.35"
"107","Boraginaceae","Cordia","lasiocalyx","Cordia lasiocalyx",-2.57,-0.9,-4.27,3.764341188,"Barro Colorado Island (BCI)","Panama",9.167,-79.846,NA,"TRR","PA_BCI",2600,74,32,28,93,285,259,281,290,266,371,388,235,3047,107,NA,0.048825041782251,-0.943905898907128,1.32557286267357,"9.167-79.846"
"108","Boraginaceae","Cordia","lucidula","Cordia lucidula",-1.58,-0.23,-2.97,3.323462731,"La Selva Research Station","Costa Rica",10.417,-84,NA,"TRR","CR_LaSelva",4200,265,196,176,261,369,415,485,418,351,370,436,458,4062,108,NA,0.0244538362048363,-0.457424847038875,1.20100723065597,"10.417-84"
"109","Boraginaceae","Cordia","panamensis","Cordia panamensis",-2.33,-1.07,-3.61,11.63171081,"Barro Colorado Island (BCI)","Panama",9.167,-79.846,NA,"TRR","PA_BCI",2600,74,32,28,93,285,259,281,290,266,371,388,235,3047,109,NA,0.048825041782251,-0.845868267577609,2.45373505889339,"9.167-79.846"
"110","Boraginaceae","Cordia","pringlei","Cordia pringlei",NA,NA,NA,2.270660158,"Palo Verde National Park","Costa Rica",10.35,-85.35,NA,"TRS","CR_PaloVerde",1460,2,2,6,34,194,233,130,189,299,267,92,12,1779,110,NA,0.0765527902802973,NA,0.82007060771601,"10.35-85.35"
"111","Sapindaceae","Acer","glabrum","Acer glabrum",-2.3,NA,NA,1.17,"Millcreek Canyon, Utah","USA",40.7,-111.683,NA,"WDS","USA_Ut_Millcreek",757,82,79,87,73,59,37,33,38,47,60,80,82,667,111,NA,0.0264947805067186,-0.832909122935104,0.157003748809665,"40.7-111.683"
"112","Sapindaceae","Acer","grandidentatum","Acer grandidentatum",-2.9,NA,NA,0.98,"Red Butte Canyon, Utah","USA",40.7,-111.683,NA,"WDS","USA_Ut_Millcreek",757,82,79,87,73,59,37,33,38,47,60,80,82,667,112,NA,0.0264947805067186,-1.06471073699243,-0.0202027073175195,"40.7-111.683"
"113","Sapindaceae","Acer","negundo","Acer negundo",-1.7,NA,NA,1.32,"Red Butte Canyon, Utah","USA",40.7,-111.683,NA,"TMS","USA_Ut_Millcreek",757,82,79,87,73,59,37,33,38,47,60,80,82,667,113,NA,0.0264947805067186,-0.53062825106217,0.27763173659828,"40.7-111.683"
"114","Ericaceae","Arbutus","unedo","Arbutus unedo",-0.54,-0.11,-8.5,NA,"Epirus region","Greece",30.65,20.3,13.56,"WDS","GR_Epirus_1",1364,413,176,96,45,8,1,0,0,18,71,188,348,144,114,NA,0.103592393447772,0.616186139423817,NA,"30.6520.3"
"115","Betulaceae","Carpinus","orientalis","Carpinus orientalis",-4.35,-0.64,-8.05,NA,"Epirus region","Greece",30.65,20.3,13.56,"WDS","GR_Epirus_2",1364,413,176,96,45,8,1,0,0,18,71,188,348,144,115,NA,0.103592393447772,-1.47017584510059,NA,"30.6520.3"
"116","Cistaceae","Cistus","creticus","Cistus creticus",-5.2,-3.18,-5.99,NA,"Epirus region","Greece",30.65,20.3,13.56,"WDS","GR_Epirus_1",1364,413,176,96,45,8,1,0,0,18,71,188,348,144,116,NA,0.103592393447772,-1.64865862558738,NA,"30.6520.3"
"117","Oleaceae","Phillyrea","latifolia","Phillyrea latifolia",-7,-1.83,-12.17,NA,"Epirus region","Greece",30.65,20.3,12.5,"WDS","GR_Epirus_3",1621,491,209,114,54,9,1,0,0,21,84,224,414,144,117,NA,0.103704956337692,-1.94591014905531,NA,"30.6520.3"
"118","Lamiaceae","Phlomis","fruticosa","Phlomis fruticosa",-2.48,-0.65,-5.76,NA,"Epirus region","Greece",30.65,20.3,14.4,"WDS","GR_Epirus_4",1138,345,147,80,38,6,1,0,0,15,59,157,290,144,118,NA,0.103651976855671,-0.908258560176891,NA,"30.6520.3"
"119","Rosaceae","Pyrus","amygdaliformis","Pyrus amygdaliformis",-3.29,-1.43,-5.15,NA,"Epirus region","Greece",30.65,20.3,13.56,"WDS","GR_Epirus_1",1364,413,176,96,45,8,1,0,0,18,71,188,348,144,119,NA,0.103592393447772,-1.19088756477728,NA,"30.6520.3"
"120","Fagaceae","Quercus","frainetto","Quercus frainetto",-4.56,-0.73,-8.38,NA,"Epirus region","Greece",30.65,20.3,12.5,"WDS","GR_Epirus_5",1465,444,189,103,49,8,1,0,0,19,76,202,374,144,120,NA,0.103703818072152,-1.51732262352629,NA,"30.6520.3"
"121","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle",-4.4,-1.82,-6.02,1.4,"Oahu, Hawaii","USA",21.5,-157.833,NA,"TRS","USA_Hi_Oahu",2220,203,183,234,205,178,120,182,169,128,171,229,221,2220,121,NA,0.0162663310162021,-1.48160454092422,0.336472236621213,"21.5-157.833"
"122","Rhizophoraceae","Rhizophora","mangle","Rhizophora mangle",-6.3,-2.2,-7.35,0.4,"Oahu, Hawaii","USA",21.5,-157.833,NA,"TRS","USA_Hi_Oahu",2220,203,183,234,205,178,120,182,169,128,171,229,221,2220,122,NA,0.0162663310162021,-1.84054963339749,-0.916290731874155,"21.5-157.833"
"124","Sapindaceae","Acer","saccharum","Acer saccharum",-1.43,NA,-3.2,NA,"Arnold Arboretum, Boston","USA",42.283,-71.133,NA,"TMS","USA_Ma_Arnold",1124,98,94,102,94,86,78,77,95,88,91,114,109,1124,124,NA,0.00989130449611835,-0.357674444271816,NA,"42.283-71.133"
"125","Apocynaceae","Aspidosperma","cruenta","Aspidosperma cruenta",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,125,9.7,0.0500926128065509,NA,NA,"9.15-79.85"
"126","Sapotaceae","Chrysophyllum","cainito","Chrysophyllum cainito",NA,NA,NA,NA,"Parque Natural Metropolitano, Panama City","Panama",9.167,-79.85,27,"TRR","PA_PanamaCity",1800,52,26,25,68,187,168,190,197,166,238,305,177,3047,126,9.9,0.0490038010924807,NA,NA,"9.167-79.85"
"127","Boraginaceae","Cordia","alliodora","Cordia alliodora",NA,NA,NA,NA,"Parque Natural Metropolitano, Panama City","Panama",9.167,-79.85,27,"TRR","PA_PanamaCity",1800,52,26,25,68,187,168,190,197,166,238,305,177,3047,127,15.4,0.0490038010924807,NA,NA,"9.167-79.85"
"128","Fabaceae","Dussia","munda","Dussia munda",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,128,12.3,0.0500926128065509,NA,NA,"9.15-79.85"
"129","Moraceae","Ficus","insipida","Ficus insipida",NA,NA,NA,NA,"Parque Natural Metropolitano, Panama City","Panama",9.167,-79.85,27,"TRR","PA_PanamaCity",1800,52,26,25,68,187,168,190,197,166,238,305,177,3047,129,19.2,0.0490038010924807,NA,NA,"9.167-79.85"
"130","Annonaceae","Guatteria","dumetorum","Guatteria dumetorum",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,130,12.2,0.0500926128065509,NA,NA,"9.15-79.85"
"131","Humiriaceae","Humiriastrum","diguense","Humiriastrum diguense",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,131,11.2,0.0500926128065509,NA,NA,"9.15-79.85"
"132","Malvaceae","Luehea","seemannii","Luehea seemannii",NA,NA,NA,NA,"Parque Natural Metropolitano, Panama City","Panama",9.167,-79.85,27,"TRR","PA_PanamaCity",1800,52,26,25,68,187,168,190,197,166,238,305,177,3047,132,17,0.0490038010924807,NA,NA,"9.167-79.85"
"133","Sapotaceae","Manilkara","bidentata","Manilkara bidentata",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,133,10.3,0.0500926128065509,NA,NA,"9.15-79.85"
"134","Clusiaceae","Marila","laxiflora","Marila laxiflora",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,134,9.9,0.0500926128065509,NA,NA,"9.15-79.85"
"135","Melastomataceae","Miconia","borealis","Miconia borealis",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,135,16.8,0.0500926128065509,NA,NA,"9.15-79.85"
"136","Lauraceae","Nectandra","purpurascens","Nectandra purpurascens",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,136,11.1,0.0500926128065509,NA,NA,"9.15-79.85"
"137","Lauraceae","Ocotea","ira","Ocotea ira",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,137,12.6,0.0500926128065509,NA,NA,"9.15-79.85"
"138","Moraceae","Poulsenia","armata","Poulsenia armata",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,138,11.8,0.0500926128065509,NA,NA,"9.15-79.85"
"139","Urticaceae","Pourouma","bicolor","Pourouma bicolor",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,139,13.7,0.0500926128065509,NA,NA,"9.15-79.85"
"140","Simaroubaceae","Simarouba","amara","Simarouba amara",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,140,17.5,0.0500926128065509,NA,NA,"9.15-79.85"
"141","Anacardiaceae","Tapirira","guianensis","Tapirira guianensis",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,141,12.9,0.0500926128065509,NA,NA,"9.15-79.85"
"142","Burseraceae","Trattinnickia","aspera","Trattinnickia aspera",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,142,12.2,0.0500926128065509,NA,NA,"9.15-79.85"
"143","Myristicaceae","Virola","sebifera","Virola sebifera",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,143,13.5,0.0500926128065509,NA,NA,"9.15-79.85"
"144","Vochysiaceae","Vochysia","ferruginea","Vochysia ferruginea",NA,NA,NA,NA,"Fort Sherman","Panama",9.15,-79.85,NA,"TRR","PA_FortSherman",3100,76,40,33,109,344,313,310,334,319,452,483,288,2383,144,18.3,0.0500926128065509,NA,NA,"9.15-79.85"
"147","Proteaceae","Brabejum","stellatifolium","Brabejum stellatifolium",-2.3,-0.65,-3.364,NA,"Jonkershoek Valley, Western Cape Province","South Africa",-33.95,18.917,NA,"WDS","SA_Jonkershoek",945,23,30,33,87,142,147,138,134,79,65,41,26,1031,147,NA,0.0526827730327132,-0.832909122935104,NA,"-33.9518.917"
